Record file Pathname: c:\Users\PRODUCTION\Desktop\mesure ballant.txt
Start acquisition date: 03-23-2020 17:46:49
Sirrah working mode: PC7V MM1 EC10 DD384 DG505 DM505
Mode diagnostique: 0
Comment:

;Status B1;Date B1;Energie B1;Pulse B1;Theta B1;Phi B1;Theta' B1;Phi' B1;;Status B2;Date B2;Energie B2;Pulse B2;Theta B2;Phi B2;Theta' B2;Phi' B2;;Status B3;Date B3;Energie B3;Pulse B3;Theta B3;Phi B3;Theta' B3;Phi' B3;
;00;349919509;196;3;0.152;-1.518;0.018;-1.304;8c;349919511;0;0;0.000;0.000;0.000;0.000;8c;349919516;0;0;0.000;0.000;0.000;0.000;
;00;349919709;196;3;0.156;-1.686;0.017;-1.082;8c;349919711;0;0;0.000;0.000;0.000;0.000;8c;349919716;0;0;0.000;0.000;0.000;0.000;
;00;349919909;196;3;0.155;-1.575;0.010;-0.534;8c;349919911;0;0;0.000;0.000;0.000;0.000;8c;349919916;0;0;0.000;0.000;0.000;0.000;
;00;349920109;196;3;0.149;-1.327;-0.009;0.198;8c;349920111;0;0;0.000;0.000;0.000;0.000;8c;349920116;0;0;0.000;0.000;0.000;0.000;
;00;349920309;196;3;0.144;-1.095;-0.018;0.914;8c;349920311;0;0;0.000;0.000;0.000;0.000;8c;349920316;0;0;0.000;0.000;0.000;0.000;
;00;349920509;196;3;0.138;-0.720;-0.028;1.501;8c;349920511;0;0;0.000;0.000;0.000;0.000;8c;349920516;0;0;0.000;0.000;0.000;0.000;
;00;349920709;196;3;0.133;-0.436;-0.023;1.412;8c;349920711;0;0;0.000;0.000;0.000;0.000;8c;349920716;0;0;0.000;0.000;0.000;0.000;
;00;349920909;197;3;0.127;-0.149;-0.021;1.560;8c;349920911;0;0;0.000;0.000;0.000;0.000;8c;349920916;0;0;0.000;0.000;0.000;0.000;
;00;349921109;197;3;0.118;0.115;-0.029;1.351;8c;349921111;0;0;0.000;0.000;0.000;0.000;8c;349921116;0;0;0.000;0.000;0.000;0.000;
;00;349921309;197;3;0.114;0.402;-0.028;1.403;8c;349921311;0;0;0.000;0.000;0.000;0.000;8c;349921316;0;0;0.000;0.000;0.000;0.000;
;00;349921509;197;3;0.109;0.591;-0.029;1.214;8c;349921511;0;0;0.000;0.000;0.000;0.000;8c;349921516;0;0;0.000;0.000;0.000;0.000;
;00;349921709;198;3;0.105;0.907;-0.026;1.306;8c;349921711;0;0;0.000;0.000;0.000;0.000;8c;349921716;0;0;0.000;0.000;0.000;0.000;
;00;349921909;197;3;0.096;1.108;-0.028;1.134;8c;349921911;0;0;0.000;0.000;0.000;0.000;8c;349921916;0;0;0.000;0.000;0.000;0.000;
;00;349922109;197;3;0.094;1.284;-0.021;1.125;8c;349922111;0;0;0.000;0.000;0.000;0.000;8c;349922116;0;0;0.000;0.000;0.000;0.000;
;00;349922309;197;3;0.093;1.286;-0.017;0.606;8c;349922311;0;0;0.000;0.000;0.000;0.000;8c;349922316;0;0;0.000;0.000;0.000;0.000;
;00;349922509;197;3;0.101;1.141;-0.003;0.110;8c;349922511;0;0;0.000;0.000;0.000;0.000;8c;349922516;0;0;0.000;0.000;0.000;0.000;
;00;349922709;197;3;0.111;0.828;0.029;-0.712;8c;349922711;0;0;0.000;0.000;0.000;0.000;8c;349922716;0;0;0.000;0.000;0.000;0.000;
;00;349922909;197;3;0.112;0.583;0.031;-1.095;8c;349922911;0;0;0.000;0.000;0.000;0.000;8c;349922916;0;0;0.000;0.000;0.000;0.000;
;00;349923109;197;3;0.113;0.439;0.023;-1.118;8c;349923111;0;0;0.000;0.000;0.000;0.000;8c;349923116;0;0;0.000;0.000;0.000;0.000;
;00;349923309;197;3;0.120;0.230;0.018;-1.067;8c;349923311;0;0;0.000;0.000;0.000;0.000;8c;349923316;0;0;0.000;0.000;0.000;0.000;
;00;349923509;197;3;0.126;0.004;0.020;-0.967;8c;349923511;0;0;0.000;0.000;0.000;0.000;8c;349923516;0;0;0.000;0.000;0.000;0.000;
;00;349923709;197;3;0.129;-0.182;0.014;-1.009;8c;349923711;0;0;0.000;0.000;0.000;0.000;8c;349923716;0;0;0.000;0.000;0.000;0.000;
;00;349923909;197;3;0.129;-0.295;0.015;-0.890;8c;349923911;0;0;0.000;0.000;0.000;0.000;8c;349923916;0;0;0.000;0.000;0.000;0.000;
;00;349924109;197;3;0.135;-0.506;0.018;-0.864;8c;349924111;0;0;0.000;0.000;0.000;0.000;8c;349924116;0;0;0.000;0.000;0.000;0.000;
;00;349924309;197;3;0.134;-0.614;0.009;-0.698;8c;349924311;0;0;0.000;0.000;0.000;0.000;8c;349924316;0;0;0.000;0.000;0.000;0.000;
;00;349924509;196;3;0.133;-0.617;0.006;-0.503;8c;349924511;0;0;0.000;0.000;0.000;0.000;8c;349924516;0;0;0.000;0.000;0.000;0.000;
;00;349924709;197;3;0.128;-0.375;-0.012;0.082;8c;349924711;0;0;0.000;0.000;0.000;0.000;8c;349924716;0;0;0.000;0.000;0.000;0.000;
;00;349924909;197;3;0.127;-0.155;-0.012;0.714;8c;349924911;0;0;0.000;0.000;0.000;0.000;8c;349924916;0;0;0.000;0.000;0.000;0.000;
;00;349925109;197;3;0.125;0.044;-0.014;1.031;8c;349925111;0;0;0.000;0.000;0.000;0.000;8c;349925116;0;0;0.000;0.000;0.000;0.000;
;00;349925309;197;3;0.116;0.295;-0.026;1.117;8c;349925311;0;0;0.000;0.000;0.000;0.000;8c;349925316;0;0;0.000;0.000;0.000;0.000;
;00;349925509;197;3;0.111;0.425;-0.021;0.965;8c;349925511;0;0;0.000;0.000;0.000;0.000;8c;349925516;0;0;0.000;0.000;0.000;0.000;
;00;349925709;197;3;0.114;0.493;-0.010;0.748;8c;349925711;0;0;0.000;0.000;0.000;0.000;8c;349925716;0;0;0.000;0.000;0.000;0.000;
;00;349925909;197;3;0.114;0.489;-0.003;0.390;8c;349925911;0;0;0.000;0.000;0.000;0.000;8c;349925916;0;0;0.000;0.000;0.000;0.000;
;00;349926109;197;3;0.117;0.353;0.000;-0.114;8c;349926111;0;0;0.000;0.000;0.000;0.000;8c;349926116;0;0;0.000;0.000;0.000;0.000;
;00;349926309;197;3;0.119;0.233;0.014;-0.400;8c;349926311;0;0;0.000;0.000;0.000;0.000;8c;349926316;0;0;0.000;0.000;0.000;0.000;
;00;349926509;197;3;0.125;0.080;0.017;-0.646;8c;349926511;0;0;0.000;0.000;0.000;0.000;8c;349926516;0;0;0.000;0.000;0.000;0.000;
;00;349926709;197;3;0.127;-0.073;0.023;-0.773;8c;349926711;0;0;0.000;0.000;0.000;0.000;8c;349926716;0;0;0.000;0.000;0.000;0.000;
;00;349926909;196;3;0.124;-0.168;0.010;-0.665;8c;349926911;0;0;0.000;0.000;0.000;0.000;8c;349926916;0;0;0.000;0.000;0.000;0.000;
;00;349927109;196;3;0.126;-0.264;0.006;-0.545;8c;349927111;0;0;0.000;0.000;0.000;0.000;8c;349927116;0;0;0.000;0.000;0.000;0.000;
;00;349927309;196;3;0.130;-0.262;0.007;-0.304;8c;349927311;0;0;0.000;0.000;0.000;0.000;8c;349927316;0;0;0.000;0.000;0.000;0.000;
